ID,y
1,78.057
2,93.613
3,77.26
4,78.012
5,109.31
8,92.992
10,102.6
11,96.302
12,116.84
14,92.293
15,116.6
16,111.07
17,99.295
19,96.457
20,102.72
21,102.39
22,118.58
23,99.853
26,94.459
28,96.453
29,99.853
33,99.853
35,94.918
41,98.908
42,92.842
43,118.53
45,99.89
46,104.05
51,94.481
53,77.768
55,107.78
56,102.64
57,105.01
58,95.596
59,107.89
63,106.09
64,94.601
65,107.26
69,92.42
71,98.623
72,104.04
73,94.421
76,108.18
77,102.04
78,114.94
82,94.667
83,107.26
84,101.61
85,103.03
87,108.8
88,98.908
89,110.82
91,95.216
93,101.64
94,105.59
95,93.71
96,109.29
97,95.761
98,107.47
99,95.933
101,104.81
103,110.82
104,96.188
105,107.01
110,98.391
111,106.5
113,108.16
114,95.099
115,105.09
117,110.82
120,99.682
121,108.55
122,97.112
123,111.25
126,107.79
132,112.67
135,105.89
137,103.12
138,94.172
140,103.15
142,108.67
144,109.08
148,93.057
149,105.13
155,100.33
156,108.96
157,95.761
162,109.48
163,95.153
167,97.18
172,118.53
179,108.32
180,97.79
181,109.02
182,98.329
183,110.82
185,110.82
187,107.4
188,94.465
189,95.136
191,98.749
192,103.71
193,93.98
194,109.74
195,96.696
196,103.13
198,100.78
199,109.16
201,102.47
204,94.614
205,111.18
206,102.79
210,101.95
211,104.81
216,109.2
219,116.84
220,95.476
221,107.86
226,109.02
227,101.02
228,109.15
230,108.36
231,95.761
235,118.6
236,94.984
238,108.25
242,105.08
243,95.262
244,80.183
245,108.59
247,110.27
248,93.411
249,93.531
250,108.33
251,94.984
253,118.6
254,95.274
256,95.014
257,92.685
258,107.97
259,96.388
262,81.119
266,96.492
267,109.22
272,102.55
273,110.82
275,102.74
276,106.54
279,95.256
280,107.26
283,95.008
285,109.29
288,110.82
289,98.206
290,102.3
291,102.69
292,107.29
293,107.36
296,104.83
297,108.71
298,114.79
299,94.58
304,93.586
305,77.937
306,95.107
307,108.81
311,104.54
313,108.88
314,91.77
316,105.1
324,100.76
327,95.244
329,94.307
330,109.94
337,102.96
338,97.302
339,101.03
340,93.809
343,93.559
345,116.56
346,100
347,109.19
349,106.6
350,95.488
352,106.63
353,94.273
354,78.111
357,94.546
358,108.81
362,106.59
364,101.47
365,103.39
366,96.499
367,107.33
368,94.938
370,78.417
373,95.135
377,95.189
378,106.25
382,107.59
384,109.14
390,94.201
392,108.23
393,105.54
395,97.204
396,103.35
399,78.285
406,108.88
408,108.88
409,94.218
410,77.87
412,108.39
413,92.57
419,93.491
420,107.68
421,92.689
430,98.321
434,93.06
436,96.897
437,102.5
438,92.985
439,108.32
440,100.2
443,103.94
446,94.324
448,94.359
452,95.565
453,104.89
457,102.57
458,94.663
459,115.72
460,103.31
462,105.95
464,101.56
465,116.8
467,108.48
471,107.53
472,77.784
