ID,y
1,97.805
2,132.06
3,105.26
4,79.458
5,104.82
8,97.975
10,118.72
11,90.911
12,114.8
14,93.175
15,115.55
16,103.92
17,100.56
19,94.366
20,107.38
21,99.134
22,117.11
23,103.59
26,96.413
28,106.69
29,103.59
33,103.59
35,96.21
41,100.73
42,96.304
43,118.41
45,105.32
46,102.61
51,94.03
53,88.108
55,112.33
56,93.079
57,105.86
58,94.139
59,101.97
63,111.86
64,95.613
65,104.69
69,91.833
71,96.682
72,101.96
73,92.769
76,102.21
77,111.3
78,115.83
82,94.364
83,104.69
84,95.198
85,103.79
87,111.53
88,100.73
89,113.54
91,93.829
93,91.537
94,106.92
95,92.841
96,107.33
97,93.196
98,111.88
99,92.913
101,103.51
103,113.54
104,89.586
105,111.43
110,95.122
111,112.12
113,115.51
114,95.747
115,109.49
117,113.54
120,93.109
121,115.48
122,94.912
123,112.5
126,113.53
132,111.31
135,99.07
137,105.66
138,95.106
140,91.992
142,106.88
144,112.45
148,90.524
149,113.45
155,95.381
156,111.17
157,93.196
162,114.56
163,101.68
167,93.812
172,118.41
179,117.57
180,95.77
181,109.91
182,95.369
183,113.54
185,113.54
187,112.59
188,93.51
189,93.598
191,91.604
192,113.84
193,95.956
194,113.73
195,92.236
196,114.54
198,98.345
199,111.74
201,106.3
204,94.682
205,104.77
206,89.999
210,94.099
211,103.51
216,114.5
219,116.81
220,91.827
221,109.75
226,109.91
227,94.257
228,111.59
230,111.41
231,93.196
235,117.28
236,92.165
238,112.44
242,103.6
243,92.718
244,80.984
245,109.99
247,113.6
248,95.177
249,94.431
250,113.87
251,92.165
253,117.28
254,97.234
256,95.235
257,94.162
258,114.37
259,93.82
262,80.721
266,93.703
267,112.44
272,103.09
273,113.54
275,97.595
276,115.21
279,94.404
280,104.69
283,94.777
285,111.34
288,113.54
289,99.576
290,106.93
291,94.392
292,109.23
293,111.25
296,96.614
297,111.99
298,116.27
299,93.774
304,90.315
305,83.721
306,93.423
307,110.18
311,116.09
313,110.36
314,90.166
316,102.23
324,90.565
327,94.521
329,91.846
330,112.96
337,103.79
338,90.034
339,98.186
340,95.386
343,93.577
345,115.13
346,94.631
347,111.95
349,112.56
350,92.09
352,115.62
353,91.313
354,76.746
357,92.501
358,109.45
362,113.43
364,118.35
365,103.12
366,108.99
367,112.99
368,95.054
370,72.041
373,93.1
377,89.339
378,107.22
382,101.62
384,111
390,92.194
392,111.99
393,113.42
395,93.184
396,103.41
399,85.865
406,110.36
408,110.36
409,90.728
410,75.418
412,110.15
413,92.778
419,92.403
420,109.14
421,91.263
430,98.622
434,92.675
436,95.226
437,90.877
438,93.14
439,111.35
440,92.829
443,113.55
446,93.08
448,92.375
452,92.132
453,105.13
457,102.16
458,92.937
459,115.83
460,101.91
462,103.08
464,99.606
465,116.22
467,115.15
471,110.57
472,74.757
473,100.75
475,94.312
480,92.331
488,107.7
490,110.18
491,99.9
492,78.552
493,91.839
497,92.46
498,112.77
499,93.541
500,101.32
501,93.791
502,111.53
506,97.02
510,105.26
511,92.183
512,92.026
516,92.403
518,92.832
519,110.82
521,91.745
522,114.55
526,111.74
529,93.426
532,111.91
533,93.781
536,110.67
537,100.7
539,94.379
540,102.29
541,92.743
543,93.862
546,110.89
547,91.979
548,79.572
551,91.683
552,103.25
556,104.78
557,94.26
558,112.99
559,94.633
560,102.06
562,104.55
566,92.371
570,112.77
571,90.877
572,104.1
573,93.583
575,116.22
576,107.06
577,94.39
579,90.627
580,110.5
581,111.57
589,110.18
591,100.46
593,93.488
594,109.55
595,94.301
598,91.057
602,110.5
604,113.25
606,108.77
608,108.76
609,102.92
610,92.533
616,110.85
617,94.243
618,101.16
620,102.86
622,110.38
623,92.634
624,170.7
626,111.48
628,112.57
629,97.585
630,110.82
637,94.847
638,105.08
643,96.026
645,92.331
646,118.45
648,97.38
652,91.546
653,90.023
654,112.77
656,112.24
657,96.554
659,92.511
660,102.15
663,93.564
664,112.26
666,101.29
668,107.67
669,88.441
671,95.26
675,92.258
677,89.842
678,108.39
679,105.03
682,97.233
685,103.64
687,94.67
688,89.963
693,110.55
696,94.91
698,93.126
701,99.553
704,104.64
705,117.03
709,113.49
710,94.793
711,106.7
712,93.311
714,109.99
715,93.697
716,111.09
717,95.137
720,116.05
721,91.927
724,101.56
725,94.714
726,110.47
728,111.57
731,92.762
734,103.97
738,95.911
745,112.41
746,92.045
751,78.492
754,93.168
756,95.162
758,94.435
759,109.94
761,117.4
766,94.656
767,110.63
768,93.548
769,114.33
770,93.919
771,79.466
772,106.93
773,92.227
774,112.86
776,111.92
777,93.182
780,118.74
782,103.21
787,103.9
788,95.293
792,92.462
793,113.83
798,95.648
800,92.774
806,111.09
809,110.53
811,114.93
812,93.359
814,117.13
816,101.59
817,95.471
818,114.67
820,109.97
823,94.514
829,90.816
830,114.92
831,91.625
834,110.91
839,94.284
841,75.864
844,103.68
845,94.534
848,91.229
850,96.835
851,102.68
852,88.666
854,92.516
855,94.268
856,102.93
859,101.3
861,112.86
864,93.792
865,112.01
866,93.368
867,91.84
869,93.24
871,90.997
872,111.09
882,102.24
883,93.589
885,94.385
888,95.626
893,109.62
901,108.45
903,100.81
904,93.931
905,104.46
910,94.332
911,107.85
914,111.72
918,113.03
921,91.78
928,96.376
929,104.52
932,87.252
933,109.82
934,94.332
935,114.12
937,80.662
939,94.688
940,94.945
941,94.601
942,102.77
943,93.66
944,101.44
947,111.09
949,111.42
951,109.79
952,93.831
953,100.81
954,80.103
957,110.43
959,93.461
960,117.04
963,117.13
965,111.09
967,101.6
971,95.99
972,76.645
973,92.121
974,112.85
975,93.525
978,124.29
980,117.21
981,95.121
984,111.33
986,94.332
988,93.548
989,110.54
990,105.75
992,108.45
996,90.884
999,113.15
1000,90.903
1001,112.01
1002,93.144
1003,111.92
1004,93.908
1008,110.36
1009,88.754
1010,104.69
1012,118.69
1013,89.408
1014,109.25
1015,94.395
1016,116.76
1019,95.944
1020,109.79
1021,94.332
1022,104.4
1024,94.332
1025,72.49
1027,93.619
1028,104.7
1029,94.068
1030,84.937
1033,114.14
1036,88.665
1037,111.06
1038,91.507
1042,94.688
1043,100.77
1044,92.947
1045,112.33
1047,116.4
1050,94.956
1051,110.47
1054,93.851
1056,95.121
1057,93.768
1059,95.006
1062,95.891
1063,102.19
1064,95.121
1066,92.011
1070,104.31
1076,113.91
1077,103.33
1078,110.83
1080,113.73
1082,114.28
1083,94.772
1089,109.13
1091,96.579
1093,95.217
1097,96.504
1099,94.134
1101,95.285
1103,94.137
1104,113.91
1106,110.83
1109,97.222
1110,113.92
1111,93.493
1112,110.72
1114,95.308
1116,96.122
1117,112.51
1120,95.994
1124,112.54
1125,95.274
1126,113.29
1134,111.63
1137,94.201
1138,115.64
1144,112.57
1145,96.169
1146,92.034
1148,95.386
1150,94.908
1152,104.64
1153,94.575
1154,105.61
1155,94.787
1157,94.746
1162,95.641
1165,112.4
1166,94.606
1167,104.56
1168,96.538
1169,102.26
1171,118.55
1172,96.075
1173,102.26
1174,95.217
1176,95.233
1177,105.67
1178,94.369
1182,112.15
1186,94.199
1187,117.94
1188,95.709
1189,119.69
1191,106.79
1192,95.219
1197,115.72
1198,92.723
1200,78.369
1201,94.089
1203,97.584
1209,118.09
1214,103.24
1218,112.79
1222,95.66
1226,99.466
1228,96.345
1230,90.881
1232,79.604
1233,101.31
1236,117.17
1238,95.931
1241,112.57
1244,101.08
1246,95.954
1247,117.55
1250,110.23
1251,97.286
1254,111.46
1255,96.491
1256,111.87
1257,93.896
1258,94.091
1259,113.48
1260,95.906
1263,111.14
1267,79.164
1268,111.2
1271,95.028
1272,110.57
1274,106.48
1275,95.641
1276,111.43
1277,93.46
1279,92.034
1281,94.353
1282,95.709
1283,112.89
1285,115.92
1286,95.168
1289,114.1
1296,117.42
1299,93.475
1301,91.837
1306,93.531
1307,95.208
1308,95.497
1313,111.43
1314,98.313
1315,113.92
1316,93.895
1317,111.61
1319,93.269
1323,93.58
1324,103.64
1325,96.821
1328,99.54
1329,95.883
1330,113.81
1331,92.813
1332,108.33
1337,101.93
1338,113.63
1339,93.613
1340,114.05
1343,112.76
